"null","Sourced","Placed","References","Value","Footprint","Digi-Key_PN","Manufacturer_PN","Quantity"
59,"","","U705","Vero-Bridgelux_LED-with-Noctua-Fan","Vero_29-High-Power-LED_w_Noctua-Fan","","",1
60,"","","U901","DM3AT_Hirose_MicroSD_Card_Reader","microSD_HC_Hirose_DM3AT-SF-PEJM5","HR1964CT-ND","DM3AT-SF-PEJM5",1
61,"","","U1001","TMC5160-Stepper_Driver","TQFP-48-1EP_7x7mm_P0.5mm_EP5x5mm_ThermalVias","1460-TMC5160A-TA-TCT-ND","TMC5160A-TA-T",1
62,"","","U1107","BSS138DW_MOSFET_ARRAY_MULTIPLE_UNITS","SOT-363_SC-70-6_Handsoldering","BSS138DW-FDICT-ND","BSS138DW-7-F",1
63,"","","Y301","Crystal_GND24","Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering","478-CX3225SB16000H0PSTC1CT-ND","CX3225SB16000H0PSTC1",1
64,"","","SW201","SW_DPST","PVA1-EE-H1-Switch","108-PVA1EEH13.5NV2-ND","PVA1 EE H1 3.5N V2",1
65,"","","Q501, Q502, Q503, Q504, Q505, Q506","IRF540N","TO-263-2","IRF540NSTRLPBFCT-ND","IRF540NSTRLPBF",6
66,"","","Q1101, Q1102, Q1103","Q_NMOS","SOT-23","2N7002LT1GOSCT-ND","2N7002LT1G",3
67,"","","Q201","IRF5305-Reverse-Polarity","TO-263-3_TabPin2","IRF5305STRLPBFCT-ND","IRF5305STRLPBF",1
68,"","","Q801","BC847B","SOT-23-3","1727-1138-1-ND","BC847B,235",1
69,"","","J803, J804, J806, J1001, J1002, J1003, J1004, J1005","Conn_01x03_Male","PinHeader_1x03_P2.54mm_Vertical","","",8
70,"","","J807, J808, J809, J810, J811, J812","Conn_01x03_Female","PinHeader_1x03_P2.54mm_Vertical","","",6
71,"","","J601, J1105","Conn_01x04_Female","JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","","",2
72,"","","J201","Screw_Terminal_01x02","TerminalBlock_Altech_AK300-2_P5.00mm","","",1
73,"","","J301","Conn_02x05_Counter_Clockwise","PinHeader_2x05_P2.54mm_Vertical","","",1
74,"","","J302","USB_C_Receptacle_USB2.0","Molex-USB-C_2137160001","900-2137160001CT-ND",2137160001,1
75,"","","J801","Conn_01x03_Male","JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","","",1
76,"","","J1101","Conn_01x09_Male","PinHeader_1x09_P2.54mm_Vertical","","",1
77,"","","J1102","SJ-43616-SMT_AudioJack_TRRS","CUI_SJ-43616-SMT","CP-43616SJCT-ND","SJ-43616-SMT-TR",1
78,"","","J1103","DB9_Male_MountingHoles","DSUB-9_Male_Horizontal_P2.77x2.84mm_EdgePinOffset4.94mm_Housed_MountingHolesOffset7.48mm","609-5182-ND","LD09P13A4GV00LF",1
79,"","","J1104","DIN-5","57PC5FS-DIN-5_Connector","SC1822-ND","57PC5FS",1
80,"","","J1106","Conn_02x02_Counter_Clockwise","Molex_Mini-Fit_Jr_5569-04A2_2x02_P4.20mm_Horizontal","WM16295-ND",1724480004,1
81,"","","J1107","Conn_01x05_Male","PinHeader_1x05_P2.54mm_Horizontal","WM10190-ND",1718570005,1
82,"","","J1108","Conn_01x04_Female","JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","455-2249-ND","B4B-XH-A(LF)(SN)",1
